,DATO,PO_KODE,PO_NAVN,ARTSID,TRAFFIC_LIGHT,BEHFISK_STK,BIOMASSE_KG
532,2020-02-01,11,Kvaløy til Loppa,LAKS,green,19750441,34332741
533,2020-02-01,12,Vest-Finnmark,LAKS,green,37665101,67293171
534,2020-02-01,13,Øst-Finnmark,LAKS,green,2951804,4199577
535,2020-03-01,01,Svenskegrensen til Jæren,LAKS,green,6662138,9146604
536,2020-03-01,02,Ryfylket,LAKS,yellow,17660830,34230697
537,2020-03-01,03,Karmøy til Sotra,LAKS,red,49995472,90088249
539,2020-03-01,04,Nordhordland til Stadt,LAKS,red,29395456,58272589
541,2020-03-01,05,Stadt til Hustadvika,LAKS,yellow,11679391,25354593
543,2020-03-01,06,Nordmøre til Sør-Trøndelag,LAKS,green,73116910,148271286
545,2020-03-01,07,Nord-Trøndelag med Bindal,LAKS,yellow,22130659,48466327
546,2020-03-01,08,Helgeland til Bodø,LAKS,green,39192045,86643619
547,2020-03-01,09,Vestfjorden og Vesterålen,LAKS,green,34801273,61631538
549,2020-03-01,10,Andøya til Senja,LAKS,green,32747206,63999798
551,2020-03-01,11,Kvaløy til Loppa,LAKS,green,18894453,31906242
552,2020-03-01,12,Vest-Finnmark,LAKS,green,34842211,61995520
553,2020-03-01,13,Øst-Finnmark,LAKS,green,2947014,4597655
554,2020-04-01,01,Svenskegrensen til Jæren,LAKS,green,6541044,9250958
555,2020-04-01,02,Ryfylket,LAKS,yellow,18442887,33912547
